words,acc,f1,0_f1,1_f1,2_f1,3_f1,4_f1
"code,python",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"code,pytorch",0.853333333,0.854850324,0.782608696,0.769230769,0.740740741,1,0.88
"code,range",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"code,recent",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"return,code",0.84,0.844454247,0.782608696,0.75862069,0.692307692,0.96,0.916666667
"code,run",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"code,self",0.84,0.843435319,0.782608696,0.740740741,0.740740741,0.96,0.88
"code,sequential",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"code,set",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"shape,code",0.893333333,0.893311863,0.782608696,0.88,0.740740741,1,1
"code,size",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"code,tensorflow",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"code,test",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"code,tf",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"traceback,code",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"code,train",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"code,training",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"code,tried",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"try,code",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"code,trying",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"code,use",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"using,code",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"code,would",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"code,x",0.866666667,0.868558776,0.782608696,0.814814815,0.740740741,1,0.916666667
"could,error",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"could,model",0.84,0.842128138,0.727272727,0.8,0.692307692,0.96,0.916666667
"could,tensorflow",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"cpu,gpu",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"create,model",0.84,0.842128138,0.727272727,0.8,0.692307692,0.96,0.916666667
"cuda,gpu",0.853333333,0.856911132,0.833333333,0.785714286,0.769230769,0.916666667,0.88
"data,dataset",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"data,def",0.853333333,0.857523738,0.833333333,0.75862069,0.72,0.96,0.916666667
"data,dense",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"data,epoch",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"data,error",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"data,following",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"data,function",0.853333333,0.857523738,0.833333333,0.75862069,0.72,0.96,0.916666667
"data,get",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"data,import",0.84,0.844454247,0.782608696,0.75862069,0.692307692,0.96,0.916666667
"data,input",0.88,0.881761221,0.833333333,0.814814815,0.769230769,1,0.916666667
"data,keras",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"data,last",0.88,0.881761221,0.833333333,0.814814815,0.769230769,1,0.916666667
"data,loss",0.84,0.844023464,0.833333333,0.714285714,0.72,0.96,0.88
"data,model",0.84,0.842128138,0.727272727,0.8,0.692307692,0.96,0.916666667
"data,network",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"data,numpy",0.88,0.882351324,0.833333333,0.827586207,0.8,0.96,0.916666667
"data,output",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"data,print",0.88,0.881761221,0.833333333,0.814814815,0.769230769,1,0.916666667
"data,problem",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"data,range",0.88,0.881761221,0.833333333,0.814814815,0.769230769,1,0.916666667
"data,return",0.853333333,0.857523738,0.833333333,0.75862069,0.72,0.96,0.916666667
"data,sequential",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"data,tensorflow",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"data,train",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"data,training",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"data,tried",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"data,trying",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"data,use",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"using,data",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"data,x",0.88,0.881761221,0.833333333,0.814814815,0.769230769,1,0.916666667
"dataset,dense",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"dataset,import",0.84,0.844454247,0.782608696,0.75862069,0.692307692,0.96,0.916666667
"keras,dataset",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"dataset,loss",0.84,0.844023464,0.833333333,0.714285714,0.72,0.96,0.88
"dataset,model",0.84,0.842128138,0.727272727,0.8,0.692307692,0.96,0.916666667
"dataset,sequential",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"dataset,training",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"using,dataset",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"dataset,x",0.88,0.881761221,0.833333333,0.814814815,0.769230769,1,0.916666667
"error,def",0.853333333,0.857523738,0.833333333,0.75862069,0.72,0.96,0.916666667
"following,def",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"def,function",0.853333333,0.857523738,0.833333333,0.75862069,0.72,0.96,0.916666667
"get,def",0.853333333,0.857523738,0.833333333,0.75862069,0.72,0.96,0.916666667
"def,import",0.84,0.844454247,0.782608696,0.75862069,0.692307692,0.96,0.916666667
"def,input",0.866666667,0.868706004,0.833333333,0.785714286,0.72,1,0.916666667
"keras,def",0.84,0.844454247,0.782608696,0.75862069,0.692307692,0.96,0.916666667
"last,def",0.853333333,0.857523738,0.833333333,0.75862069,0.72,0.96,0.916666667
"len,def",0.853333333,0.857523738,0.833333333,0.75862069,0.72,0.96,0.916666667
"def,loss",0.84,0.844023464,0.833333333,0.714285714,0.72,0.96,0.88
"def,model",0.826666667,0.830958082,0.727272727,0.75862069,0.666666667,0.96,0.916666667
"module,def",0.853333333,0.857523738,0.833333333,0.75862069,0.72,0.96,0.916666667
"def,network",0.853333333,0.857523738,0.833333333,0.75862069,0.72,0.96,0.916666667
"none,def",0.853333333,0.857523738,0.833333333,0.75862069,0.72,0.96,0.916666667
"def,numpy",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"def,output",0.853333333,0.857523738,0.833333333,0.75862069,0.72,0.96,0.916666667
"def,print",0.853333333,0.857523738,0.833333333,0.75862069,0.72,0.96,0.916666667
"def,problem",0.853333333,0.857523738,0.833333333,0.75862069,0.72,0.96,0.916666667
"range,def",0.853333333,0.857523738,0.833333333,0.75862069,0.72,0.96,0.916666667
"return,def",0.853333333,0.857523738,0.833333333,0.75862069,0.72,0.96,0.916666667
"def,self",0.84,0.844023464,0.833333333,0.714285714,0.72,0.96,0.88
"def,tensorflow",0.853333333,0.857523738,0.833333333,0.75862069,0.72,0.96,0.916666667
"traceback,def",0.853333333,0.857523738,0.833333333,0.75862069,0.72,0.96,0.916666667
"def,train",0.853333333,0.857523738,0.833333333,0.75862069,0.72,0.96,0.916666667
"training,def",0.853333333,0.857523738,0.833333333,0.75862069,0.72,0.96,0.916666667
"def,tried",0.853333333,0.857523738,0.833333333,0.75862069,0.72,0.96,0.916666667
"def,trying",0.853333333,0.857523738,0.833333333,0.75862069,0.72,0.96,0.916666667
"def,use",0.853333333,0.857523738,0.833333333,0.75862069,0.72,0.96,0.916666667
"using,def",0.84,0.844454247,0.782608696,0.75862069,0.692307692,0.96,0.916666667
"def,x",0.866666667,0.868706004,0.833333333,0.785714286,0.72,1,0.916666667
"dropout,dense",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
