words,acc,f1,0_f1,1_f1,2_f1,3_f1,4_f1,,,,,,,
optimizer,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
number,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
wrong,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
outputs,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
learning,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
getting,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
dimension,0.844444444,0.848896066,0.785714286,0.774193548,0.705882353,0.965517241,0.896551724,,,,,,,
tf,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
attribute,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
classes,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
could,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
values,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
predict,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
gpus,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
set,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
first,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
dimensions,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
list,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
flatten,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
value,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
running,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
also,0.844444444,0.848113213,0.785714286,0.787878788,0.6875,0.965517241,0.896551724,,,,,,,
example,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
try,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
runtimeerror,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
shapes,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
weights,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
found,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
typeerror,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
different,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
TRUE,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
validation,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
kwargs,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
work,0.822222222,0.825851426,0.740740741,0.75,0.666666667,0.965517241,0.866666667,,,,,,,
would,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
forward,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
traceback,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
variable,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
nvidia,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
samples,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
time,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
tensors,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
np,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
please,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
